Period,Pre_avg_speed,Post_avg_speed,avg_speed_change_%,Pre_cbd_inside_ratio,Post_cbd_inside_ratio,cbd_inside_ratio_change_%
Peak hours,11.198450749994718,11.074730486654188,-1.1,0.3847191509039197,0.39465114869663465,2.58
Off-peak hours,14.116004831128402,14.05213376543316,-0.45,0.40788229074037663,0.4142763092650334,1.57
