Day_Type,Pre_avg_speed,Post_avg_speed,avg_speed_change_%,Pre_total_trips,Post_total_trips,total_trips_change_%,Pre_cbd_inside_ratio,Post_cbd_inside_ratio,cbd_inside_ratio_change_%,Pre_cbd_neighbor_in_ratio,Post_cbd_neighbor_in_ratio,cbd_neighbor_in_ratio_change_%,Pre_cbd_neighbor_out_ratio,Post_cbd_neighbor_out_ratio,cbd_neighbor_out_ratio_change_%,Sample_Size_Pre,Sample_Size_Post
Weekday,12.839764491871318,12.697407363033806,-1.11,4244.182342430149,4150.778787878788,-2.2,0.39013760492084726,0.3946989873210102,1.17,0.09676198057441507,0.09856545607574972,1.86,0.09606294696269964,0.0959924768671854,-0.07,12312,3960
Weekend,13.768124346403443,13.744582774626146,-0.17,3900.1323938070664,3690.8712990936556,-5.37,0.4252196151255995,0.43986106594803126,3.44,0.0868335065583521,0.08688231013309286,0.06,0.08175641101065644,0.07989802856814356,-2.27,5038,1655
Holiday,15.194042823876632,15.559786884280289,2.41,2939.722222222222,2959.075,0.66,0.3902707258755365,0.3947772724416293,1.15,0.09058277800242817,0.08795821227084949,-2.9,0.08387673109019202,0.07983452855537762,-4.82,288,120
