treatment,treatment_description,outcome,outcome_description,n_obs,did_estimate,did_se,did_pvalue,did_ci_lower,did_ci_upper,r_squared,f_statistic,f_pvalue,treatment_coef,post_coef,constant
treatment_cbd,High vs Low CBD Exposure,avg_speed,Average Speed (mph),23373.0,-0.7357939539404674,0.10739397261543154,7.31550453680022e-12,-0.9462822724233941,-0.5253056354575407,0.008425972569325979,68.55526021402922,3.929587713586486e-44,0.7246153260728919,0.40779538000555654,12.768024884618189
treatment_cbd,High vs Low CBD Exposure,total_trips,Total Trips per Hour,23373.0,480.149761022373,71.54980815407284,1.9368436590865928e-11,339.91471393963997,620.384808105106,0.0025342590766073148,19.62989072682768,1.0519074373336945e-12,-164.36983052557454,-369.01819361637695,4207.307964399811
treatment_cbd,High vs Low CBD Exposure,cbd_inside_ratio,CBD Inside Ratio,23373.0,0.00206032017412122,0.0011110193157103177,0.06367604179639234,-0.00011723767079933846,0.004237878019041779,0.2629546993244588,2772.8454144944185,0.0,0.04315219569177611,0.0018452656683847729,0.18328378333867765
treatment_cbd,High vs Low CBD Exposure,cbd_in_ratio,CBD In Ratio,23373.0,0.007049254724152053,0.001209777718443768,5.646616205496893e-09,0.00467813396670323,0.009420375481600875,0.02060066098335278,161.96219477871202,6.525427271763964e-104,0.009280683743401302,-0.0015499208394871837,0.10660592415061941
treatment_cbd,High vs Low CBD Exposure,cbd_out_ratio,CBD Out Ratio,23373.0,-0.005209498185339835,0.0008788454361970734,3.072792415316854e-09,-0.006932003588263493,-0.0034869927824161774,0.09677217503237479,823.9535432978245,0.0,0.020725999343015326,-0.0026080447091417916,0.086360279579245
treatment_cbd,High vs Low CBD Exposure,cbd_neighbor_in_ratio,CBD Neighbor In Ratio,23373.0,0.0005548866953787359,0.0009391502259670825,0.5546282189526619,-0.0012858139235893992,0.0023955873143468713,0.06089989449855937,500.76629389524265,2.060355694e-315,-0.015027320965852332,0.002668394205976103,0.08197135479999137
treatment_cbd,High vs Low CBD Exposure,cbd_neighbor_out_ratio,CBD Neighbor Out Ratio,23373.0,0.0022848515851911166,0.000495076036181068,3.9280609181397355e-06,0.0013145203846673746,0.0032551827857148583,0.07417092741400899,632.2534717633647,0.0,-0.009594908374792183,-0.0018260743801534706,0.05171116632715868
treatment_cbd,High vs Low CBD Exposure,avg_duration,Average Trip Duration (minutes),23373.0,0.3465840475562232,0.06685727938611107,2.1724819616570454e-07,0.2155461878551133,0.47762190725733306,0.034215602020615354,270.2432608685045,1.9351556876288364e-172,-0.916770319690054,-0.2813735567256845,15.348298903641034
treatment_cbd,High vs Low CBD Exposure,avg_distance,Average Trip Distance (miles),23373.0,-0.12246901801706712,0.02868521161387726,1.959879948023412e-05,-0.17869099966917662,-0.06624703636495761,0.0011150907103653074,8.061243884525464,2.300021022597749e-05,-0.0010414715058850257,0.06885139928007371,3.5241199957511915
treatment_cbd,High vs Low CBD Exposure,total_revenue,Total Revenue per Hour,23373.0,14888.876919670822,2064.4774656492286,5.516237946064844e-13,10842.575440103807,18935.178399237837,0.004295299920497375,32.70624134852576,4.361883559708655e-21,-9391.919143232948,-10680.806144564225,123693.57233683228
treatment_peak,Peak vs Off-Peak Hours,avg_speed,Average Speed (mph),23373.0,-0.2414429875497508,0.09391348443678492,0.010143208446329734,-0.4255100347085121,-0.05737594039098948,0.11932538135656567,1331.3266738186423,0.0,-2.4541938670859635,0.11829195074153892,13.950749475957132
treatment_peak,Peak vs Off-Peak Hours,total_trips,Total Trips per Hour,23373.0,32.346513744200735,67.14052739565821,0.6299669953741495,-99.2465018543142,163.93952934271567,0.10127340404788876,1013.0370270079724,0.0,1597.3763450097667,-142.30321755543184,3592.0913420650054
treatment_peak,Peak vs Off-Peak Hours,cbd_inside_ratio,CBD Inside Ratio,23373.0,0.001940522851245911,0.0011451461962862332,0.09015827186738079,-0.0003039224505081415,0.004184968152999964,0.016174796186349427,179.99455367828475,2.198959590141964e-115,-0.01174912427612815,0.0016566102628540204,0.20891126011112704
treatment_peak,Peak vs Off-Peak Hours,cbd_in_ratio,CBD In Ratio,23373.0,-0.003027193362459003,0.0011312285908197373,0.0074501603910098815,-0.005244360658747686,-0.0008100260661703202,0.03966425688042441,420.7673563561397,3.0399043716094834e-266,0.017571568036867793,0.002796618459087327,0.10541735217432757
treatment_peak,Peak vs Off-Peak Hours,cbd_out_ratio,CBD Out Ratio,23373.0,0.006036375141831793,0.0007151031643964878,3.1392217670149216e-17,0.004634798694384051,0.007437951589279535,0.21187008840629062,3092.36387371047,0.0,-0.032565499125310586,-0.007439396686676987,0.10764430571751149
treatment_peak,Peak vs Off-Peak Hours,cbd_neighbor_in_ratio,CBD Neighbor In Ratio,23373.0,0.001352264677822608,0.0008215524618559922,0.09976643406573628,-0.000257948558825353,0.0029624779144705694,0.08822923326466259,1074.5599068872853,0.0,0.018767229477040306,0.002681537631579805,0.0681543826049597
treatment_peak,Peak vs Off-Peak Hours,cbd_neighbor_out_ratio,CBD Neighbor Out Ratio,23373.0,8.839930427215125e-05,0.00039375824673093594,0.8223671250767495,-0.0006833526779361196,0.0008601512864804221,0.18939368090604425,2722.3009483608853,0.0,0.01539387009656483,-0.0006127710729495224,0.041751920772917485
treatment_peak,Peak vs Off-Peak Hours,avg_duration,Average Trip Duration (minutes),23373.0,-0.041249916864013726,0.06652687229544606,0.5352255647660938,-0.1716401905671835,0.08914035683915605,0.010791226229414863,94.26955799107874,1.213713546487406e-60,0.5074352074157636,-0.0859628103126337,14.717890760057081
